Страна;Код;Регион;Исчезнувшая;Объединение;Комментарий
Марокко;ma;Африка;;;
Мартиника;mq;Америка;;;Заморский департамент Франции в Карибском бассейне
Маршалловы Острова;mh;Австралия и Океания;;;
Мексика;mx;Америка;;;
Мозамбик;mz;Африка;;;
Молдова;md;Европа;;;
Монако;mc;Европа;;;
Монголия;mn;Азия;;;
Монтсеррат;ms;Америка;;;Заморская территория Великобритании в Карибском бассейне
Мьянма;mm;Азия;;;
Намибия;na;Африка;;;
Науру;nr;Австралия и Океания;;;
Непал;np;Азия;;;
Нигер;ne;Африка;;;
Нигерия;ng;Африка;;;
Нидерландские Антильские острова;netherlands_antilles;Америка;+;;Бывшая автономная территория Королевства Нидерландов в Карибском бассейне, территория современных государств: Аруба, Кюрасао, Синт-Мартен, Бонайре, Синт-Эстатиус, Саба
Нидерланды;nl;Европа;;;
Никарагуа;ni;Америка;;;
Ниуэ;nu;Австралия и Океания;;;Самоуправляемое государственное образование в свободной ассоциации с Новой Зеландией
Новая Зеландия;nz;Австралия и Океания;;;
Новая Каледония;nc;Австралия и Океания;;;Особое административно-территориальное образование Франции в Тихом океане
Норвегия;no;Европа;;;
ОАЭ;ae;Азия;;;
Оман;om;Азия;;;
Остров Вознесения;sh;Африка;+;;Заморская территория Великобритании в Южной Атлантике, входит в состав: Острова Святой Елены, Вознесения и Тристан-да-Кунья
Остров Мэн;im;Европа;;;Коронное владение Великобритании в Ирландском море
Остров Норфолк;nf;Австралия и Океания;;;Внешняя территория Австралии в Тихом океане
Остров Рождества;cx;Азия;;;Внешняя территория Австралии в Индийском океане
Остров Святой Елены;sh;Африка;+;;Заморская территория Великобритании в Южной Атлантике, входит в состав: Острова Святой Елены, Вознесения и Тристан-да-Кунья
Острова Святой Елены, Вознесения и Тристан-да-Кунья;sh;Африка;;;Заморская территория Великобритании в Южной Атлантике
Острова Кука;ck;Австралия и Океания;;;Самоуправляемое государственное образование в свободной ассоциации с Новой Зеландией
Острова Питкэрн;pn;Австралия и Океания;;;Заморская территория Великобритании в Тихом океане
Пакистан;pk;Азия;;;
Палау;pw;Австралия и Океания;;;
Палестина;ps;Азия;;;
Панама;pa;Америка;;;
Папуа - Новая Гвинея;pg;Австралия и Океания;;;
Парагвай;py;Америка;;;
Перу;pe;Америка;;;
Польша;pl;Европа;;;
Португалия;pt;Европа;;;
Пруссия;prussia;Европа;+;;Бывшее государство в Центральной и Восточной Европе, территория современных государств: Германия, Россия, Польша, Литва
Пуэрто-Рико;pr;Америка;;;Неинкорпорированная территория США в Карибском бассейне
Республика Конго;cg;Африка;;;
Реюньон;re;Африка;;;Заморский департамент Франции в Индийском океане
Родезия;rhodesia;Африка;+;;Бывшее государство и колония Великобритании в Южной Африке, территория современной Зимбабве
Российская империя;ru;Европа;+;;
Россия;ru;Европа;;;
Руанда;rw;Африка;;;
Румыния;ro;Европа;;;
Сальвадор;sv;Америка;;;
Самоа;ws;Австралия и Океания;;;
Сан-Марино;sm;Европа;;;
Сан-Томе и Принсипи;st;Африка;;;
Саравак;sarawak;Азия;+;;Бывшее государство на острове Борнео, территория современной Малайзии
Саудовская Аравия;sa;Азия;;;
Северная Македония;mk;Европа;;;
Северное Борнео;north_borneo;Азия;+;;Бывшая колония Великобритании на острове Борнео, территория современной Малайзии
Северные Марианские Острова;mp;Австралия и Океания;;;Неинкорпорированная территория США в Тихом океане
Сейшельские Острова;sc;Африка;;;
Сен-Бартелеми;bl;Америка;;;Заморское сообщество Франции в Карибском бассейне
Сен-Мартен;mf;Америка;;;Заморское сообщество Франции в Карибском бассейне
Сен-Пьер и Микелон;pm;Америка;;;Заморское сообщество Франции в Северной Атлантике
Сенегал;sn;Африка;;;
Сент-Винсент и Гренадины;vc;Америка;;;
Сент-Китс и Невис;kn;Америка;;;
Сент-Люсия;lc;Америка;;;
Сербия;rs;Европа;;;
Сингапур;sg;Азия;;;
Синт-Мартен;sx;Америка;;;Автономная территория Королевства Нидерландов в Карибском бассейне
Сирия;sy;Азия;;;
Словакия;sk;Европа;;;
Словения;si;Европа;;;
Соломоновы Острова;sb;Австралия и Океания;;;
Сомали;so;Африка;;;
СССР;ussr;Европа;+;;
Стрейтс Сетлментс;straits_settlements;Азия;+;;Бывшая колония Великобритании на полуострове Малакка, территория современной Малайзии
Судан;sd;Африка;;;
Суринам;sr;Америка;;;
США;us;Америка;;;
Сьерра-Леоне;sl;Африка;;;
Таджикистан;tj;Азия;;;
Таиланд;th;Азия;;;
Тайвань;tw;Азия;;;
Танзания;tz;Африка;;;
Теркс и Кайкос;tc;Америка;;;Заморская территория Великобритании в Карибском бассейне
Того;tg;Африка;;;
Токелау;tk;Австралия и Океания;;;Зависимая территория Новой Зеландии
Тонга;to;Австралия и Океания;;;
Тринидад и Тобаго;tt;Америка;;;
Тристан-да-Кунья;sh;Африка;+;;Заморская территория Великобритании в Южной Атлантике, входит в состав: Острова Святой Елены, Вознесения и Тристан-да-Кунья
Тувалу;tv;Австралия и Океания;;;
Тунис;tn;Африка;;;
Туркменистан;tm;Азия;;;
Турция;tr;Азия;;;
Уганда;ug;Африка;;;
Узбекистан;uz;Азия;;;
Украина;ua;Европа;;;
Уоллис и Футуна;wf;Австралия и Океания;;;Заморское сообщество Франции в Тихом океане
Уругвай;uy;Америка;;;
Фарерские острова;fo;Европа;;;Автономная территория Датского королевства
Федеративные Штаты Микронезии;fm;Австралия и Океания;;;
Фиджи;fj;Австралия и Океания;;;
